Date,Ticker,Company,Open,Close,Shares_Traded
10/29/15,JPM,JPMorgan Chase & Co.,65.26000213623047,65.20999908447266,12753700
10/30/15,JPM,JPMorgan Chase & Co.,65.30000305175781,64.25,15731400
11/2/15,JPM,JPMorgan Chase & Co.,64.44999694824219,65.54000091552734,15253300
11/3/15,JPM,JPMorgan Chase & Co.,65.29000091552734,65.77999877929688,11519500
11/4/15,JPM,JPMorgan Chase & Co.,66.01000213623047,65.84999847,11388400
11/5/15,JPM,JPMorgan Chase & Co.,65.79000091552734,66.44000244140625,12715900
11/6/15,JPM,JPMorgan Chase & Co.,68.37000274658203,68.45999908447266,23262700
11/9/15,JPM,JPMorgan Chase & Co.,68.69999694824219,67.38999938964844,17143800
11/10/15,JPM,JPMorgan Chase & Co.,67.19000244140625,67.68000030517578,13239700
11/11/15,JPM,JPMorgan Chase & Co.,68.09999847,67.34999847,8513900
11/12/15,JPM,JPMorgan Chase & Co.,66.86000061035156,66,13576900
11/13/15,JPM,JPMorgan Chase & Co.,65.83999633789062,65.55999755859375,11837000
11/16/15,JPM,JPMorgan Chase & Co.,65.45999908447266,66.51000213623047,11041100
11/17/15,JPM,JPMorgan Chase & Co.,66.66999816894531,66.12999725341797,12354800
11/18/15,JPM,JPMorgan Chase & Co.,66.48000336,67.44999694824219,12911400
11/19/15,JPM,JPMorgan Chase & Co.,67.58000183105469,67.66000366210938,12839500
11/20/15,JPM,JPMorgan Chase & Co.,67.98999786376953,67.54000091552734,11209600
11/23/15,JPM,JPMorgan Chase & Co.,67.30999755859375,66.87999725341797,11339000
11/24/15,JPM,JPMorgan Chase & Co.,66.16999816894531,66.77999877929688,10910000
11/25/15,JPM,JPMorgan Chase & Co.,66.93000030517578,66.86000061035156,7772000
11/27/15,JPM,JPMorgan Chase & Co.,67,67.16999816894531,4052500
11/30/15,JPM,JPMorgan Chase & Co.,67.27999877929688,66.68000030517578,15147500
12/1/15,JPM,JPMorgan Chase & Co.,67.33999633789062,67.61000061035156,12708800
12/2/15,JPM,JPMorgan Chase & Co.,67.83000183105469,66.66000366210938,13440900
12/3/15,JPM,JPMorgan Chase & Co.,66.83000183105469,65.80000305175781,14626900
12/4/15,JPM,JPMorgan Chase & Co.,66.09999847,67.88999938964844,17786000
12/7/15,JPM,JPMorgan Chase & Co.,67.66000366210938,67,11686000
12/8/15,JPM,JPMorgan Chase & Co.,66.25,65.95999908447266,13084500
12/9/15,JPM,JPMorgan Chase & Co.,65.61000061035156,65.45999908447266,16770200
12/10/15,JPM,JPMorgan Chase & Co.,65.54000091552734,65.61000061035156,12839000
12/11/15,JPM,JPMorgan Chase & Co.,64.80000305175781,64.06999969482422,17889300
12/14/15,JPM,JPMorgan Chase & Co.,64.23000336,64.26999664,17638200
12/15/15,JPM,JPMorgan Chase & Co.,65.06999969482422,66.09999847,18126600
12/16/15,JPM,JPMorgan Chase & Co.,66.91000366210938,67.52999877929688,21720000
12/17/15,JPM,JPMorgan Chase & Co.,67.90000153,66.27999877929688,18122100
12/18/15,JPM,JPMorgan Chase & Co.,65.97000122070312,64.40000153,23819600
12/21/15,JPM,JPMorgan Chase & Co.,65.01999664,65.54000091552734,18869300
