AAPL,MSFT,JPM
230.8899994,517.0999756,291.5299988
230.5599976,509.769989,290.6600037
226.0099945,505.7200012,292.2399902
224.8999939,504.2399902,291.4700012
227.7599945,507.230011,296.2399902
227.1600037,504.2600098,294.8999939
229.3099976,502.0400085,298.5700073
230.4900055,506.7399902,299.2799988
232.5599976,509.6400146,301.0700073
232.1399994,506.6900024,301.4200134
229.7200012,505.1199951,299.7000122
238.4700012,505.3500061,299.5100098
239.7799988,507.9700012,303.8200073
239.6900024,495,294.3800049
237.8800049,498.2000122,292.9100037
234.3500061,498.4100037,297.8500061
226.7899933,500.3699951,300.5400085
230.0299988,501.0100098,305.5599976
234.0700073,509.8999939,306.9100037
236.6999969,515.3599854,308.8999939
238.1499939,509.0400085,309.1900024
238.9900055,510.019989,311.75
237.8800049,508.4500122,313.230011
245.5,517.9299927,314.7799988
256.0799866,514.4500122,312.4400024
254.4299927,509.230011,312.7399902
252.3099976,510.1499939,313.4200134
256.8699951,507.0299988,313.4500122
255.4600067,511.4599915,316.0599976
254.4299927,514.5999756,315.6900024
254.6300049,517.9500122,315.4299927
255.4499969,519.710022,310.7099915
257.1300049,515.7399902,307.5499878
258.019989,517.3499756,310.0299988
256.6900024,528.5700073,309.1799927
256.480011,523.9799805,307.6900024
258.0599976,524.8499756,304.0299988
254.0399933,522.4000244,305.5299988
245.2700043,510.9599915,300.8900146
247.6600037,514.0499878,307.9700012
247.7700043,513.5700073,302.0799866
249.3399963,513.4299927,305.6900024
247.4499969,511.6099854,298.5400085
252.2899933,513.5800171,297.5599976
262.2399902,516.789978,302.3599854
262.769989,517.6599731,297.0899963
258.4500122,520.539978,294.1099854
259.5799866,520.5599976,294.5400085
262.8200073,523.6099854,300.4400024
268.8099976,531.5200195,304.1499939
269,542.0700073,305.3599854
269.1650085,538.8049927,305.6700134
